index,fit-max,fit-min,fit-avg-min,fit-avg-max,fit-avg,fit-avg-median,const-max,const-min,const-avg-min,const-avg-max,const-avg,const-avg-median,m-leg,m-grid,m-align,m-reg,m-just,m-type-par,m-balance,m-ng-space,m-sem-emp,m-sem-lay,m-sem-vis,fittest-avg-fit,fittest-avg-const,fittest-avg-penalty,fittest-avg-max-fit,fittest-avg-max-const,fittest-avg-max-penalty,fittest-avg-min-fit,fittest-avg-min-const,fittest-avg-min-penalty,fittest-avg-m-leg,fittest-avg-m-grid,fittest-avg-m-align,fittest-avg-m-reg,fittest-avg-m-just,fittest-avg-m-type-par,fittest-avg-m-balance,fittest-avg-m-ng-space,fittest-avg-m-sem-emp,fittest-avg-m-sem-lay,fittest-avg-m-sem-vis
0,0.8,0.4,0.64,0.51,0.55,0.56,1,0,1,0.01,0.47,0.48,0.62,0.91,0.29,0.93,0.51,0.48,0.54,0.52,0.32,0.83,0,0.55,0.28,0.28,0.62,0.43,0.53,0.49,0.03,0.28,0.82,0.91,0.36,0.95,0.36,0.53,0.61,0.51,0.36,0.83,0
1,0.82,0.38,0.63,0.5,0.55,0.55,1,0,1,0,0.38,0.38,0.71,0.91,0.31,0.93,0.44,0.49,0.57,0.51,0.33,0.83,0,0.55,0.22,0.33,0.62,0.37,0.56,0.49,0.01,0.33,0.87,0.91,0.39,0.94,0.32,0.56,0.62,0.49,0.37,0.83,0
2,0.77,0.36,0.62,0.49,0.55,0.55,1,0,1,0,0.31,0.3,0.78,0.91,0.34,0.92,0.39,0.51,0.6,0.5,0.35,0.83,0,0.55,0.2,0.36,0.61,0.34,0.57,0.49,0,0.36,0.9,0.91,0.41,0.95,0.3,0.59,0.63,0.47,0.39,0.83,0
3,0.76,0.37,0.62,0.48,0.55,0.55,1,0,0.99,0,0.27,0.25,0.8200000000000001,0.91,0.36,0.92,0.35,0.53,0.62,0.49,0.36,0.83,0,0.56,0.18,0.38,0.62,0.31,0.58,0.5,0,0.38,0.92,0.91,0.42,0.95,0.29,0.62,0.63,0.46,0.39,0.83,0
4,0.75,0.38,0.61,0.47,0.55,0.55,1,0,0.98,0,0.24,0.22,0.85,0.91,0.38,0.92,0.33,0.55,0.62,0.48,0.37,0.83,0,0.56,0.17,0.39,0.61,0.29,0.59,0.51,0,0.39,0.93,0.91,0.43,0.95,0.28,0.64,0.63,0.45,0.4,0.83,0
5,0.76,0.39,0.62,0.47,0.55,0.55,1,0,0.98,0,0.22,0.19,0.87,0.91,0.39,0.92,0.32,0.57,0.63,0.47,0.38,0.83,0,0.56,0.16,0.4,0.62,0.27,0.59,0.51,0,0.4,0.94,0.91,0.44,0.95,0.28,0.66,0.63,0.45,0.41,0.83,0
6,0.77,0.38,0.62,0.47,0.56,0.55,1,0,0.98,0,0.21,0.18,0.89,0.91,0.39,0.91,0.32,0.59,0.63,0.46,0.39,0.83,0,0.56,0.15,0.41,0.62,0.27,0.6,0.51,0,0.41,0.94,0.91,0.45,0.96,0.27,0.67,0.63,0.45,0.42,0.83,0
7,0.74,0.37,0.63,0.47,0.56,0.56,1,0,0.98,0,0.2,0.17,0.89,0.91,0.4,0.91,0.31,0.6,0.63,0.46,0.4,0.83,0,0.57,0.15,0.42,0.62,0.25,0.6,0.52,0,0.42,0.95,0.91,0.47,0.96,0.27,0.69,0.63,0.45,0.42,0.83,0
8,0.73,0.39,0.64,0.47,0.56,0.56,1,0,0.98,0,0.19,0.16,0.9,0.91,0.41,0.91,0.31,0.62,0.63,0.45,0.4,0.83,0,0.57,0.14,0.43,0.62,0.25,0.6,0.52,0,0.43,0.95,0.91,0.47,0.97,0.27,0.7,0.63,0.45,0.42,0.83,0
9,0.72,0.39,0.64,0.47,0.56,0.56,1,0,0.98,0,0.19,0.15,0.91,0.91,0.42,0.91,0.3,0.63,0.64,0.45,0.41,0.82,0,0.57,0.14,0.43,0.62,0.24,0.61,0.52,0,0.43,0.96,0.91,0.48,0.96,0.26,0.71,0.63,0.45,0.43,0.83,0
10,0.72,0.38,0.64,0.47,0.56,0.56,1,0,0.98,0,0.18,0.15,0.91,0.91,0.43,0.91,0.3,0.64,0.64,0.45,0.41,0.82,0,0.57,0.14,0.43,0.62,0.23,0.61,0.52,0,0.43,0.96,0.91,0.49,0.97,0.26,0.72,0.63,0.45,0.43,0.83,0
11,0.71,0.38,0.64,0.47,0.56,0.56,1,0,0.98,0,0.18,0.14,0.91,0.91,0.43,0.91,0.3,0.65,0.64,0.45,0.41,0.82,0,0.57,0.13,0.44,0.62,0.23,0.61,0.52,0,0.44,0.96,0.91,0.5,0.97,0.26,0.73,0.63,0.45,0.43,0.83,0
12,0.72,0.37,0.65,0.47,0.56,0.56,1,0,0.98,0,0.18,0.14,0.92,0.91,0.44,0.91,0.3,0.65,0.63,0.45,0.42,0.82,0,0.57,0.13,0.44,0.62,0.23,0.61,0.52,0,0.44,0.96,0.91,0.51,0.98,0.26,0.74,0.63,0.45,0.43,0.83,0
13,0.73,0.38,0.65,0.47,0.56,0.56,1,0,0.98,0,0.17,0.14,0.92,0.91,0.45,0.91,0.3,0.66,0.63,0.45,0.42,0.82,0,0.57,0.13,0.45,0.62,0.22,0.62,0.52,0,0.45,0.97,0.91,0.52,0.98,0.26,0.75,0.63,0.45,0.43,0.83,0
14,0.74,0.37,0.65,0.47,0.57,0.57,1,0,0.98,0,0.17,0.13,0.92,0.91,0.45,0.91,0.3,0.67,0.63,0.45,0.42,0.82,0,0.58,0.13,0.45,0.62,0.22,0.62,0.52,0,0.45,0.97,0.91,0.52,0.98,0.26,0.75,0.63,0.45,0.43,0.83,0
15,0.76,0.37,0.65,0.47,0.57,0.57,1,0,0.98,0,0.17,0.13,0.92,0.91,0.46,0.91,0.3,0.67,0.63,0.45,0.42,0.82,0,0.58,0.13,0.45,0.62,0.21,0.62,0.53,0,0.45,0.97,0.91,0.53,0.98,0.26,0.76,0.63,0.45,0.44,0.83,0
16,0.73,0.37,0.65,0.47,0.57,0.57,1,0,0.98,0,0.17,0.13,0.9299999999999999,0.91,0.46,0.91,0.29,0.68,0.63,0.45,0.42,0.82,0,0.58,0.12,0.45,0.62,0.21,0.62,0.53,0,0.45,0.97,0.91,0.53,0.98,0.26,0.76,0.63,0.45,0.44,0.83,0
17,0.71,0.37,0.65,0.47,0.57,0.57,1,0,0.98,0,0.17,0.13,0.9299999999999999,0.91,0.46,0.91,0.29,0.69,0.63,0.45,0.42,0.82,0,0.58,0.12,0.46,0.62,0.21,0.62,0.53,0,0.46,0.97,0.91,0.54,0.99,0.26,0.77,0.63,0.45,0.44,0.83,0
18,0.72,0.37,0.65,0.47,0.57,0.57,1,0,0.98,0,0.16,0.13,0.9299999999999999,0.91,0.47,0.9,0.29,0.69,0.63,0.45,0.42,0.82,0,0.58,0.12,0.46,0.62,0.2,0.62,0.53,0,0.46,0.97,0.91,0.54,0.98,0.26,0.77,0.63,0.45,0.44,0.83,0
19,0.73,0.37,0.66,0.47,0.57,0.57,1,0,0.98,0,0.16,0.12,0.9299999999999999,0.91,0.47,0.9,0.29,0.7,0.63,0.45,0.43,0.82,0,0.58,0.12,0.46,0.62,0.2,0.62,0.53,0,0.46,0.97,0.91,0.54,0.99,0.26,0.78,0.63,0.45,0.44,0.83,0
20,0.74,0.37,0.66,0.47,0.57,0.57,1,0,0.98,0,0.16,0.12,0.9299999999999999,0.91,0.47,0.9,0.29,0.7,0.63,0.45,0.43,0.82,0,0.58,0.12,0.46,0.62,0.2,0.62,0.53,0,0.46,0.98,0.91,0.55,0.98,0.26,0.78,0.63,0.45,0.44,0.83,0
21,0.74,0.37,0.66,0.47,0.57,0.57,1,0,0.98,0,0.16,0.12,0.9299999999999999,0.91,0.48,0.9,0.29,0.7,0.63,0.44,0.43,0.82,0,0.58,0.12,0.46,0.62,0.19,0.62,0.53,0,0.46,0.98,0.91,0.55,0.98,0.26,0.79,0.63,0.45,0.44,0.83,0
22,0.74,0.37,0.66,0.47,0.57,0.57,1,0,0.98,0,0.16,0.12,0.94,0.91,0.48,0.9,0.29,0.71,0.63,0.44,0.43,0.82,0,0.58,0.12,0.46,0.63,0.19,0.62,0.53,0,0.46,0.98,0.91,0.55,0.99,0.26,0.79,0.63,0.45,0.44,0.83,0
23,0.76,0.37,0.66,0.47,0.57,0.57,1,0,0.98,0,0.16,0.12,0.94,0.91,0.48,0.9,0.29,0.71,0.63,0.44,0.43,0.82,0,0.58,0.11,0.47,0.63,0.19,0.62,0.53,0,0.47,0.98,0.91,0.56,0.99,0.26,0.79,0.63,0.45,0.44,0.83,0
24,0.73,0.36,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.12,0.94,0.91,0.49,0.9,0.29,0.71,0.63,0.44,0.43,0.82,0,0.58,0.11,0.47,0.62,0.19,0.62,0.53,0,0.47,0.98,0.91,0.56,0.99,0.26,0.8,0.63,0.45,0.44,0.83,0
25,0.75,0.36,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.12,0.94,0.91,0.49,0.9,0.29,0.71,0.63,0.44,0.43,0.82,0,0.58,0.11,0.47,0.63,0.18,0.62,0.53,0,0.47,0.98,0.91,0.56,0.99,0.26,0.8,0.63,0.45,0.44,0.83,0
26,0.73,0.36,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.12,0.94,0.91,0.49,0.89,0.29,0.71,0.63,0.44,0.43,0.82,0,0.58,0.11,0.47,0.63,0.18,0.62,0.53,0,0.47,0.98,0.91,0.57,0.99,0.26,0.8,0.63,0.45,0.44,0.83,0
27,0.73,0.36,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.11,0.94,0.91,0.49,0.89,0.29,0.72,0.63,0.44,0.43,0.82,0,0.58,0.11,0.47,0.63,0.18,0.62,0.53,0,0.47,0.98,0.91,0.57,0.99,0.26,0.81,0.63,0.45,0.44,0.83,0
28,0.74,0.36,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.11,0.94,0.91,0.49,0.89,0.29,0.72,0.63,0.44,0.43,0.82,0,0.58,0.11,0.47,0.63,0.18,0.62,0.53,0,0.47,0.98,0.91,0.57,0.99,0.26,0.81,0.63,0.45,0.44,0.83,0
29,0.75,0.36,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.11,0.94,0.91,0.5,0.89,0.29,0.72,0.63,0.44,0.43,0.82,0,0.58,0.11,0.47,0.63,0.17,0.62,0.53,0,0.47,0.98,0.91,0.57,0.99,0.26,0.81,0.63,0.45,0.44,0.83,0
30,0.72,0.36,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.11,0.95,0.91,0.5,0.89,0.29,0.73,0.63,0.44,0.43,0.82,0,0.58,0.11,0.47,0.63,0.17,0.62,0.53,0,0.47,0.99,0.91,0.58,0.99,0.26,0.81,0.63,0.45,0.44,0.83,0
31,0.73,0.36,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.11,0.95,0.91,0.5,0.89,0.29,0.73,0.63,0.44,0.43,0.82,0,0.58,0.11,0.47,0.63,0.17,0.62,0.53,0,0.47,0.99,0.91,0.58,0.99,0.26,0.82,0.62,0.44,0.44,0.83,0
32,0.73,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.11,0.95,0.91,0.5,0.89,0.29,0.73,0.63,0.44,0.43,0.82,0,0.58,0.11,0.48,0.63,0.17,0.62,0.53,0,0.48,0.99,0.91,0.58,0.99,0.26,0.82,0.62,0.44,0.44,0.83,0
33,0.73,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.15,0.11,0.95,0.91,0.5,0.89,0.29,0.73,0.63,0.44,0.43,0.82,0,0.58,0.11,0.48,0.63,0.17,0.62,0.53,0,0.48,0.99,0.91,0.59,0.99,0.26,0.82,0.62,0.44,0.44,0.83,0
34,0.75,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.11,0.95,0.91,0.51,0.89,0.29,0.73,0.63,0.44,0.43,0.82,0,0.58,0.11,0.48,0.63,0.16,0.63,0.53,0,0.48,0.99,0.91,0.59,0.99,0.26,0.82,0.62,0.44,0.44,0.83,0
35,0.74,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.11,0.95,0.91,0.51,0.89,0.29,0.74,0.63,0.44,0.43,0.82,0,0.58,0.1,0.48,0.63,0.16,0.63,0.53,0,0.48,0.99,0.91,0.59,0.99,0.26,0.82,0.62,0.44,0.44,0.83,0
36,0.74,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.11,0.95,0.91,0.51,0.89,0.29,0.74,0.62,0.44,0.43,0.82,0,0.58,0.1,0.48,0.63,0.16,0.63,0.53,0,0.48,0.99,0.91,0.59,0.99,0.26,0.82,0.62,0.44,0.44,0.83,0
37,0.74,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.11,0.95,0.91,0.51,0.89,0.29,0.74,0.62,0.44,0.43,0.82,0,0.58,0.1,0.48,0.63,0.16,0.63,0.53,0,0.48,0.99,0.91,0.6,0.99,0.26,0.83,0.62,0.44,0.44,0.83,0
38,0.74,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.11,0.95,0.91,0.51,0.89,0.29,0.74,0.62,0.44,0.43,0.82,0,0.58,0.1,0.48,0.63,0.16,0.63,0.53,0,0.48,0.99,0.91,0.6,1,0.26,0.83,0.62,0.44,0.44,0.83,0
39,0.74,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.95,0.91,0.51,0.89,0.29,0.74,0.62,0.44,0.43,0.82,0,0.58,0.1,0.48,0.63,0.16,0.63,0.53,0,0.48,0.99,0.91,0.6,1,0.26,0.83,0.62,0.44,0.44,0.83,0
40,0.76,0.34,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.95,0.91,0.52,0.89,0.29,0.74,0.62,0.43,0.43,0.83,0,0.58,0.1,0.48,0.63,0.16,0.63,0.53,0,0.48,0.99,0.91,0.6,1,0.26,0.83,0.62,0.44,0.44,0.83,0
41,0.74,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.95,0.91,0.52,0.89,0.29,0.74,0.62,0.43,0.43,0.83,0,0.58,0.1,0.48,0.63,0.15,0.63,0.53,0,0.48,0.99,0.91,0.6,1,0.26,0.83,0.62,0.44,0.44,0.83,0
42,0.74,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.95,0.91,0.52,0.89,0.29,0.75,0.62,0.43,0.43,0.83,0,0.58,0.1,0.48,0.63,0.14,0.63,0.53,0,0.48,0.99,0.91,0.6,1,0.26,0.83,0.62,0.44,0.44,0.83,0
43,0.78,0.34,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.95,0.91,0.52,0.89,0.29,0.74,0.62,0.43,0.43,0.83,0,0.59,0.1,0.48,0.63,0.14,0.63,0.53,0,0.48,0.99,0.91,0.61,1,0.26,0.84,0.62,0.44,0.44,0.83,0
44,0.76,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.96,0.91,0.52,0.89,0.29,0.75,0.62,0.43,0.43,0.83,0,0.59,0.1,0.48,0.63,0.14,0.63,0.53,0,0.48,0.99,0.91,0.61,1,0.26,0.84,0.62,0.44,0.44,0.83,0
45,0.75,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.96,0.91,0.52,0.89,0.29,0.75,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.53,0,0.49,0.99,0.91,0.61,1,0.26,0.84,0.62,0.44,0.44,0.83,0
46,0.75,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.96,0.91,0.52,0.89,0.29,0.75,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.53,0,0.49,0.99,0.91,0.61,1,0.27,0.84,0.62,0.44,0.45,0.83,0
47,0.75,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.96,0.91,0.52,0.89,0.29,0.75,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.53,0,0.49,0.99,0.91,0.61,1,0.27,0.84,0.62,0.44,0.45,0.83,0
48,0.75,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.96,0.91,0.53,0.89,0.29,0.75,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.53,0,0.49,0.99,0.91,0.61,1,0.27,0.84,0.62,0.44,0.45,0.83,0
49,0.79,0.35,0.66,0.47,0.57,0.57,1,0,0.98,0,0.14,0.1,0.96,0.91,0.53,0.89,0.3,0.75,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.53,0,0.49,0.99,0.91,0.61,1,0.27,0.84,0.62,0.44,0.45,0.83,0
50,0.79,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.14,0.1,0.96,0.91,0.53,0.89,0.3,0.75,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.53,0,0.49,1,0.91,0.62,1,0.27,0.84,0.62,0.44,0.45,0.83,0
51,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.53,0.89,0.3,0.75,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.53,0,0.49,1,0.91,0.62,1,0.27,0.85,0.62,0.44,0.45,0.83,0
52,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.14,0.1,0.96,0.91,0.53,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.53,0,0.49,1,0.91,0.62,1,0.27,0.85,0.62,0.44,0.45,0.83,0
53,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.14,0.1,0.96,0.91,0.53,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.53,0,0.49,1,0.91,0.62,1,0.27,0.85,0.62,0.44,0.45,0.83,0
54,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.53,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.13,0.63,0.54,0,0.49,1,0.91,0.62,1,0.27,0.85,0.62,0.44,0.45,0.83,0
55,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.53,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.62,1,0.27,0.85,0.62,0.43,0.45,0.83,0
56,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.53,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.62,1,0.27,0.85,0.62,0.43,0.45,0.83,0
57,0.78,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.53,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.62,1,0.27,0.85,0.62,0.44,0.45,0.83,0
58,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.53,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.85,0.62,0.43,0.45,0.83,0
59,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.85,0.62,0.43,0.45,0.83,0
60,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.53,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
61,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
62,0.76,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
63,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
64,0.77,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
65,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.76,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
66,0.75,0.34,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.77,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
67,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.77,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
68,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.77,0.62,0.43,0.43,0.83,0,0.59,0.1,0.49,0.63,0.12,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
69,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.77,0.62,0.42,0.43,0.83,0,0.59,0.1,0.49,0.63,0.11,0.63,0.54,0,0.49,1,0.91,0.63,1,0.27,0.86,0.62,0.43,0.45,0.83,0
70,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.77,0.62,0.42,0.43,0.83,0,0.59,0.1,0.49,0.63,0.11,0.63,0.54,0,0.49,1,0.91,0.64,1,0.27,0.86,0.62,0.43,0.45,0.83,0
71,0.75,0.34,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.77,0.62,0.42,0.43,0.83,0,0.59,0.1,0.49,0.63,0.11,0.63,0.54,0,0.49,1,0.91,0.64,1,0.27,0.86,0.62,0.43,0.45,0.83,0
72,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.77,0.62,0.42,0.43,0.83,0,0.59,0.1,0.49,0.63,0.11,0.63,0.54,0,0.49,1,0.91,0.64,1,0.27,0.87,0.62,0.43,0.45,0.83,0
73,0.75,0.35,0.66,0.47,0.57,0.58,1,0,0.98,0,0.13,0.1,0.96,0.91,0.54,0.89,0.3,0.77,0.62,0.42,0.43,0.83,0,0.59,0.1,0.49,0.63,0.11,0.63,0.54,0,0.49,1,0.91,0.64,1,0.27,0.87,0.62,0.43,0.45,0.83,0
